result_index	name	date
2347	Shutlingsloe - U10	26-5-2014
2348	Shutlingsloe - U12	26-5-2014
2350	Austwick Amble - Seniors	26-5-2014
2351	Austwick - U16	26-5-2014
2352	Austwick - U12	26-5-2014
2339	Beddgelert-Wyddfa Challenge	25-5-2014
2340	Saddleworth - Seniors	25-5-2014
2341	Saddleworth - U08	25-5-2014
2342	Saddleworth - U10	25-5-2014
2343	Saddleworth - U12	25-5-2014
2344	Saddleworth - U14	25-5-2014
2345	Saddleworth - U16	25-5-2014
2330	Kildwick - Seniors	21-5-2014
2331	Kildwick - 08	21-5-2014
2332	Kildwick - 10	21-5-2014
2333	Kildwick - 12	21-5-2014
2334	Kildwick - 14	21-5-2014
2382	Latterbarrow Loop	21-5-2014
2820	Totley Moor	20-5-2014
2336	Mynydd Myfyr	18-5-2014
2337	Lantern Pike Dash - Juniors	18-5-2014
2338	Lantern Pike Dash - Seniors	18-5-2014
2320	Fairfield	17-5-2014
2326	Charlesworth Chase	17-5-2014
2329	May Queen	16-5-2014
2323	Pressendye - seniors	15-5-2014
2324	Pressendye - juniors	15-5-2014
2316	Latrigg	14-5-2014
2318	Blackstone Edge	14-5-2014
2315	Jack Bloor - Seniors	13-5-2014
2310	Jack Bloor - 08	13-5-2014
2311	Jack Bloor - 10	13-5-2014
2312	Jack Bloor - 12	13-5-2014
2313	Jack Bloor - 14	13-5-2014
2314	Jack Bloor - 16	13-5-2014
2362	Pinhaw Moor	9-5-2014
2305	Lothersdale - Seniors	7-5-2014
2335	Rainow 5 	7-5-2014
2322	Coiners	5-5-2014
2291	James Thorn	5-5-2014
2297	Coiners under 08	5-5-2014
2298	Coiners under 10	5-5-2014
2299	Coiners under 12	5-5-2014
2300	Coiners under 14	5-5-2014
2301	Coiners under 16	5-5-2014
2302	Coiners under 18	5-5-2014
2289	Fells And Bells	3-5-2014
2292	Chunal	3-5-2014
2303	Cake Race	3-5-2014
2398	Coniston	3-5-2014
2304	Wrekin Streak	30-4-2014
2307	Tigers Todger 	30-4-2014
2638	Dockray - Hartside	30-4-2014
2286	Orchan Rocks	29-4-2014
2294	Pentyrch	29-4-2014
2283	Snaefell	26-4-2014
3782	Rivington Pike	19-4-2014
2277	Loughrigg	16-4-2014
2272	Boulsworth Bog	13-4-2014
2278	Coledale Horseshoe	12-4-2014
2285	Wardle Skyline	12-4-2014
2259	Pendle - Under 08	6-4-2014
2260	Pendle - Under 10	6-4-2014
2261	Pendle - Under 12	6-4-2014
2262	Pendle - Under 14	6-4-2014
2263	Pendle - Under 16	6-4-2014
2264	Pendle - Under 18	6-4-2014
2257	Pendle - Men	5-4-2014
2258	Pendle - Women	5-4-2014
2280	Chicken Run	5-4-2014
2281	Chicken Run - short	5-4-2014
2639	Lakes Mountain 42	5-4-2014
2254	Rivock Edge	30-3-2014
2256	Lads Leap	30-3-2014
2268	David Bell Memorial - Spring	30-3-2014
2274	Donard Challenge	29-3-2014
2253	Edale Skyline 	23-3-2014
2248	Wolfs Pit	16-3-2014
2246	Middlefell	15-3-2014
2243	Ian Roberts	9-3-2014
2241	Black Combe	1-3-2014
2242	High Cup Nick	22-2-2014
2238	Ovenden	22-2-2014
2230	 Windy Hill	16-2-2014
2226	Wadsworth Trog	8-2-2014
2225	Tarren Hendre	1-2-2014
2208	Tigger Tor	26-1-2014
2206	Mercia Hill Trial - Long	19-1-2014
2207	Mercia Hill Trial - Short	19-1-2014
2201	Trigger	12-1-2014
2202	YHA King Of The Castle	12-1-2014
2194	Giants Tooth	1-1-2014
2193	Wansfell	28-12-2013
2192	Really Wild Boar	14-12-2013
2191	Mytholmroyd	8-12-2013
2190	Tour Of Pendle	23-11-2013
2195	Arnside Knott	17-11-2013
2188	Leg It Round Lathkil	10-11-2013
2180	Dunnerdale	9-11-2013
2184	Rhobell Fawr	9-11-2013
2186	Roaches	9-11-2013
2178	Clwydian	3-11-2013
2189	Passing Clouds	27-10-2013
2176	Great Whernside	26-10-2013
2177	Buttermere Shepherds Meet	25-10-2013
2173	Race You To The Summit	19-10-2013
2220	Wirksworth Undulator	19-10-2013
2668	Manor Water Hill	12-10-2013
2183	Breidden Hills	5-10-2013
2196	Saddleworth Edges	5-10-2013
2221	Saddleworth Edges	5-10-2013
2219	Fan Fawr	4-10-2013
2179	Arenig Fawr	29-9-2013
2223	Arenig Fawr	29-9-2013
2160	Beefys Nab	22-9-2013
2212	Stanage Struggle	22-9-2013
2164	Good Shepherd	21-9-2013
2165	Three Shires	21-9-2013
2171	Fit As A Butchers Dog	15-9-2013
2154	Peris Horseshoe	14-9-2013
2155	Half Peris Horseshoe	14-9-2013
2146	Stretton Skyline	8-9-2013
2147	Yorkshireman Off Road Marathon	8-9-2013
2148	Yorkshireman Off Road Marathon - Pairs	8-9-2013
2149	Yorkshireman Off Road Half Marathon	8-9-2013
2156	Padfield Plum Fair	8-9-2013
2157	Padfield Plum Fair - Junior	8-9-2013
2170	Shelf Moor	1-9-2013
2142	 Hesket Newmarket Show	31-8-2013
2172	Dufton Show	31-8-2013
2217	Blackshaw Head Fete	31-8-2013
2141	Ennerdale Show	28-8-2013
2144	Harrock Hill 4	28-8-2013
2129	 Barrel Inn	27-8-2013
2127	Spofforth Gala Trail Race	26-8-2013
2128	David Bell Memorial Hoppits Hill	25-8-2013
2140	Tour Of Norland Moor	25-8-2013
2139	Grasmere Guides	25-8-2013
2125	Pendleton	24-8-2013
2132	Trunce 8	19-8-2013
2121	Lakeland Country Fair	18-8-2013
2122	Sedbergh Hills	18-8-2013
2138	Belper Rugby Rover	18-8-2013
2108	Howtown	17-8-2013
2076	Eccles Pike	14-8-2013
2067	Boulsworth	11-8-2013
2071	 World Mountain Running Championship Trial - Jun Women	11-8-2013
2072	 World Mountain Running Championship Trial - Jun Men	11-8-2013
2073	 World Mountain Running Championship Trial  - Sen Men	11-8-2013
2074	 World Mountain Running Championship Trial  - Sen Women	11-8-2013
2070	Turner Landscape	10-8-2013
2110	Half Tour Of Bradwell	10-8-2013
2111	Long Tour Of Bradwell	10-8-2013
2120	Brecon Beacons	10-8-2013
2114	Cracken Edge	7-8-2013
2115	Ponderosa	7-8-2013
2062	Bradwell	6-8-2013
2055	Round Hill	4-8-2013
2057	Worsthorne Moor	4-8-2013
2058	Worsthorne Moor - U10	4-8-2013
2059	Worsthorne Moor - U16	4-8-2013
2116	Bridges Or Bust	4-8-2013
2061	Salt Cellar	2-8-2013
2182	Teggs Nose	2-8-2013
2094	Trunce 7	29-7-2013
2136	James Herriot 	28-7-2013
2043	Blisco Dash - Men	27-7-2013
2044	Blisco Dash - Women	27-7-2013
2045	Turnslack	27-7-2013
2053	Push-up-the-pincyn	27-7-2013
2052	Rydal Round	25-7-2013
2042	Harrock Hill 3	24-7-2013
2106	Goyts Moss	24-7-2013
2027	Coniston Country Fair	21-7-2013
2051	Kentmere Horseshoe	21-7-2013
2023	Crowden Horseshoe	20-7-2013
2025	Oxenhope	20-7-2013
2135	Warton Crag	20-7-2013
2026	Sheldon	18-7-2013
2028	Widdop Junior - U08	17-7-2013
2029	Widdop Junior - U10	17-7-2013
2030	Widdop Junior - U12	17-7-2013
2031	Widdop Junior - U14	17-7-2013
2032	Widdop Junior - U16	17-7-2013
2033	Widdop Junior - U18	17-7-2013
2035	Widdop	17-7-2013
2093	Trunce 6	15-7-2013
2020	Holme Moss	14-7-2013
2024	Peak Forest	14-7-2013
2134	Bull Hill	11-7-2013
1997	Stirton	10-7-2013
1998	Stirton - Under 08	10-7-2013
1999	Stirton - Under 10	10-7-2013
2000	Stirton - Under 12	10-7-2013
1996	Stoodley Pike	9-7-2013
2002	 Hathersage Gala	8-7-2013
2017	Wharfedale Ttt Race 3	7-7-2013
1995	Oakworth Haul	6-7-2013
2016	Wharfedale Ttt Race 2	6-7-2013
2015	Wharfedale Ttt Race 1	5-7-2013
2001	Reston Scar Scamper	3-7-2013
2166	Saltwell Harriers	2-7-2013
2124	Langley Fete	30-6-2013
2105	Whaley Waltz	29-6-2013
2014	Harrock Hill 2	26-6-2013
2046	Hope - Seniors	26-6-2013
2047	Hope - Juniors	26-6-2013
2060	Eddies Revenge	26-6-2013
1993	Riber Run	25-6-2013
1994	Aggies Staircase	24-6-2013
2092	Trunce 5	24-6-2013
1988	Kinder Trog	23-6-2013
2007	Tideswell	23-6-2013
1990	James Blakeley	22-6-2013
1971	Langstrath	19-6-2013
1972	Calton	18-6-2013
2391	Sutton Pinnacles	16-6-2013
1953	Brown Wardle	15-6-2013
1954	Cwm Pennant Horseshoe	15-6-2013
1955	Great Hill	15-6-2013
1961	Buckden Pike - Men	15-6-2013
1962	Buckden Pike - Women	15-6-2013
1970	Great Lakes Run	15-6-2013
2004	Vegan Welsh 1000s	15-6-2013
1958	Wormstones	12-6-2013
2041	Knowl Hill	9-6-2013
1983	Moel Hebog	8-6-2013
2040	Weets	8-6-2013
1987	 Denis Stitt	6-6-2013
1992	Abbey Anniversary	6-6-2013
1959	Boars Head	5-6-2013
1985	Calver Peak	5-6-2013
2036	Otley Chevin	5-6-2013
2037	Paddys Pole	4-6-2013
2131	Trunce 4	3-6-2013
1941	The Yomp	2-6-2013
1942	Edenfield	2-6-2013
1943	Peat Pits Wood 3	2-6-2013
1933	Wincle Trout Run - Seniors	1-6-2013
1934	Wincle Trout Run - Juniors	1-6-2013
1937	Pen Y Ghent	1-6-2013
1939	Duddon - Long	1-6-2013
1940	Duddon - Short	1-6-2013
1932	Batch Bash	29-5-2013
1920	Shutlingsloe - U10	27-5-2013
1921	Shutlingsloe - U12	27-5-2013
1922	Shutlingsloe - Seniors	27-5-2013
1925	Austwick Amble - Seniors	27-5-2013
1926	Austwick Amble - Under 12	27-5-2013
1927	Austwick Amble - Under 16	27-5-2013
1938	Mynydd Myfyr	27-5-2013
2039	Bamford Sheepdog Trials	27-5-2013
1915	Helvellyn And The Dodds	26-5-2013
1919	Hutton Roof Crags	25-5-2013
1935	Jura	25-5-2013
1913	Post Hill	24-5-2013
1912	Apperley Bridge Canter	23-5-2013
1907	Caw	22-5-2013
1908	Latterbarrow Loop	22-5-2013
1911	Harrock Hill 1	22-5-2013
1952	Vanessa Chappell	22-5-2013
1905	Totley Moor	21-5-2013
1889	Bollington Festival 3 Peaks	18-5-2013
1923	Charlesworth Chase	18-5-2013
1888	Durris Mast	16-5-2013
1875	Kildwick - Seniors	15-5-2013
1876	Kildwick - Under 08	15-5-2013
1877	Kildwick - Under 10	15-5-2013
1878	Kildwick - Under 12	15-5-2013
1879	Kildwick - Under 14	15-5-2013
1897	Blackstone Edge	15-5-2013
1890	Shining Tor	15-5-2013
1964	Jack Bloor - Seniors	14-5-2013
1965	Jack Bloor - Under 08	14-5-2013
1966	Jack Bloor - Under 10	14-5-2013
1967	Jack Bloor - Under 12	14-5-2013
1968	Jack Bloor - Under 14	14-5-2013
1969	Jack Bloor - Under 16	14-5-2013
1903	Trunce 3 Seniors	13-5-2013
1904	Trunce 3 Juniors	13-5-2013
1874	Fairfield Horseshoe	11-5-2013
1894	Mount Famine	11-5-2013
1895	Cressbrook Crawl 	11-5-2013
1931	Rainow 5	8-5-2013
1870	Burbage Skyline	7-5-2013
1866	Coiners	6-5-2013
1865	Chunal	4-5-2013
1898	Pendle Cloughs	4-5-2013
1859	Lothersdale - Senior	1-5-2013
1860	Lothersdale - under 08	1-5-2013
1861	Lothersdale - under 10	1-5-2013
1862	Lothersdale - under 12	1-5-2013
1863	Lothersdale - under 14	1-5-2013
1873	Dockray - Hartside	1-5-2013
1896	Tigers Todger	1-5-2013
1901	Trunce 2 Seniors	29-4-2013
1902	Trunce 2 Juniors	29-4-2013
1850	Stretton Junior U08	27-4-2013
1851	Stretton Junior U10	27-4-2013
1852	Stretton Junior U12	27-4-2013
1853	Stretton Junior U14	27-4-2013
1854	Stretton Junior U16	27-4-2013
1855	Stretton Junior U18	27-4-2013
1856	Three Peaks	27-4-2013
1857	Cribyn	27-4-2013
1844	Anniversary Waltz	20-4-2013
1843	Teenager With Altitude	20-4-2013
1846	3 Schools Sponsored Event	20-4-2013
1847	Hartcliff Hill	18-4-2013
1832	Bouldsworth Hill	14-4-2013
1834	Kinder Downfall	14-4-2013
1831	Silent Valley	13-4-2013
1837	Wardle Skyline	13-4-2013
1836	Loughrigg	10-4-2013
1899	Trunce 1 Seniors	8-4-2013
1900	Trunce 1 Juniors	8-4-2013
1824	Baildon Boundary Way	7-4-2013
1829	Blubberhouses Moor 25	7-4-2013
1951	Rivington Pike	30-3-2013
1817	Wolfs Pit	17-3-2013
1818	Wolfs Pit - Junior	17-3-2013
1816	Llantysilio	16-3-2013
1815	Ian Roberts	10-3-2013
1811	 Windmills Whizz	9-3-2013
1810	Ovenden	16-2-2013
1808	Wadsworth Trog	9-2-2013
3585	Tarren Hendre	9-2-2013
1809	Lads Leap	3-2-2013
1807	Jarrett Jaunt	2-2-2013
1835	Tigger Tor	27-1-2013
1798	Kinder Trial	26-1-2013
1799	Crosby Commoner	26-1-2013
1806	White Holme Circular	26-1-2013
1801	Stanbury Splash - Seniors	20-1-2013
1802	Stanbury Splash - Under 16	20-1-2013
1803	Stanbury Splash - Under 14	20-1-2013
1805	Stanbury Splash - Under 08	20-1-2013
1797	Trigger	13-1-2013
1796	Ashurst Beacon	12-1-2013
1794	Trig Point	6-1-2013
1793	Nine Standards	1-1-2013
1795	Auld Lang Syne	31-12-2012
1790	Wansfell	27-12-2012
1791	Whinberry Naze	26-12-2012
1782	Slieu Whallian Hill	15-12-2012
1784	Simonside Cairns	9-12-2012
1785	Mytholmroyd	9-12-2012
1780	Really Wild Boar	8-12-2012
1768	Gravy Pud	2-12-2012
1789	Kirkbymoor	24-11-2012
1761	Logans Run - Kinder Bimble	17-11-2012
1779	Leg It Round Lathkil	11-11-2012
1757	Harriers V Cyclists	10-11-2012
1758	Dunnerdale	10-11-2012
1752	Shepherds Skyline	3-11-2012
1748	Bronte Way	28-10-2012
1749	Great Whernside	27-10-2012
1750	Buttermere Shepherds Meet	27-10-2012
1751	Passing Clouds	27-10-2012
1742	Breidden Hills	21-10-2012
1740	Wirksworth Undulator	20-10-2012
1741	Race You To The Summit	20-10-2012
1747	Manor Water	13-10-2012
1745	Manor Water - Juniors	13-10-2012
2966	Langdale Horseshoe	13-10-2012
1730	Beefys Nab - Seniors	7-10-2012
1731	Beefys Nab - U08	7-10-2012
1732	Beefys Nab - U10	7-10-2012
1733	Beefys Nab - U12	7-10-2012
1734	Windgather	7-10-2012
1737	Arenig Fawr	7-10-2012
1738	Fan Fawr	6-10-2012
1739	Good Shepherd	6-10-2012
1769	Saddleworth Edges	6-10-2012
1725	Thieveley Pike	29-9-2012
1724	Royal Dungworth	29-9-2012
1726	Kielder Blast - Men	29-9-2012
1727	Kielder Blast - Women	29-9-2012
1711	Stanage Struggle	23-9-2012
1712	 Wild Goose Chase	23-9-2012
1721	Cairn William	22-9-2012
1723	Whernside	22-9-2012
1717	Wroxall Round	16-9-2012
1716	St Boniface Fell	15-9-2012
1718	Ventnor Horseshoe	15-9-2012
1687	Padfield Plum Fair Scamper - U16	9-9-2012
1688	Padfield Plum Fair Scamper - U14	9-9-2012
1689	Padfield Plum Fair Scamper - U12	9-9-2012
1690	Padfield Plum Fair Scamper - U10	9-9-2012
1708	Lake District Mountain Trial - Classic	9-9-2012
1709	Lake District Mountain Trial - Medium	9-9-2012
1710	Lake District Mountain Trial - Short	9-9-2012
1713	Yorkshireman Marathon	9-9-2012
1714	Yorkshireman Marathon - pairs	9-9-2012
1715	Yorkshireman Half Marathon	9-9-2012
1722	Coombes Tor	9-9-2012
1697	 Great Westmorland Trail - U08	8-9-2012
1698	 Great Westmorland Trail - U12	8-9-2012
1699	 Great Westmorland Trail - U14	8-9-2012
1700	 Great Westmorland Trail - U16	8-9-2012
1701	 Great Westmorland Trail - U16	8-9-2012
1702	 Great Westmorland Trail	8-9-2012
1703	Hodder Valley Show	8-9-2012
1704	Hodder Valley Show U10	8-9-2012
1705	Hodder Valley Show U12	8-9-2012
3739	Great Longstone Chase	7-9-2012
1675	 Shelf Moor	2-9-2012
1684	Exterminator	2-9-2012
1685	Grisedale Horseshoe	1-9-2012
2216	Blackshaw Head Fete	1-9-2012
1683	Ennerdale Show	29-8-2012
1656	Bradbourne	26-8-2012
1657	Bradbourne - short	26-8-2012
1678	Grasmere Senior Guides Race	26-8-2012
1679	Grasmere Guides under 17	26-8-2012
1680	Grasmere Guides under 14	26-8-2012
1681	Grasmere Guides under 12	26-8-2012
1682	Grasmere Guides under 09	26-8-2012
1635	Pendleton	25-8-2012
1661	Ochil 2000s	25-8-2012
1640	Ragleth Inn	24-8-2012
1636	Round Latrigg	22-8-2012
1639	Crook Peak Cake Race	22-8-2012
1659	Harrock Hill 4	22-8-2012
1600	Sedbergh Hills	19-8-2012
1616	Belper Rugby Rover	19-8-2012
1617	Lomonds Of Fife	19-8-2012
1553	Weasdale Horseshoe - Men	18-8-2012
1554	Weasdale Horseshoe - Ladies	18-8-2012
1597	Darwen Gala	18-8-2012
1626	Sticklepath Horseshoe	18-8-2012
1648	Falstone Falcon	18-8-2012
1510	Eccles Pike	15-8-2012
1530	Trunce 8 Junior	13-8-2012
1531	Trunce 8	13-8-2012
1443	Boulsworth	12-8-2012
1452	Gladstone 9	12-8-2012
1533	Forest Burn	12-8-2012
1442	Howtown	11-8-2012
1446	Long Tour Of Bradwell	11-8-2012
1453	Brecon Beacons	11-8-2012
1536	Turner Landscape	11-8-2012
1566	Teggs Nose	11-8-2012
1642	North Barrule	10-8-2012
1540	Bransdale	9-8-2012
1627	Ponderosa	8-8-2012
1431	Bradwell	7-8-2012
1577	Brownlee Olympic Gold Run	7-8-2012
1578	Brownlee Olympic Gold Run - under 10	7-8-2012
1694	Parwich Junior U08	7-8-2012
1695	Parwich Junior U10	7-8-2012
1696	Parwich Junior U12	7-8-2012
1430	Bridges Or Bust	5-8-2012
1433	Worsthorne Moor	5-8-2012
1432	Round Hill	4-8-2012
1455	Y Garn	4-8-2012
1465	Llanthony Show	4-8-2012
1572	Hellifield Gala	4-8-2012
1573	Hellifield Gala - under 10	4-8-2012
1574	Hellifield Gala - under 12	4-8-2012
1575	Hellifield Gala - under 14	4-8-2012
1576	Hellifield Gala - under 16	4-8-2012
1619	Creag Dhubh	4-8-2012
1435	Salt Cellar	3-8-2012
1470	Derbyshire Chevin 1 - short	2-8-2012
1471	Derbyshire Chevin 1 - long	2-8-2012
1486	Cracken Edge	1-8-2012
1649	Fellside	31-7-2012
1743	Fellside	31-7-2012
1423	Crowden Horseshoe	29-7-2012
1424	Crowden Horseshoe - U08	29-7-2012
1427	Crowden Horseshoe - U12	29-7-2012
1426	Crowden Horseshoe - U14	29-7-2012
1447	Gritstone Tryal	29-7-2012
1418	Push-up-the-pincyn	28-7-2012
1564	Beetham Sports	28-7-2012
1620	Ben Rinnes Five Tops	28-7-2012
1615	Stoney Middleton	26-7-2012
1662	Heart Of The Lakes Rydal Round	26-7-2012
1415	Goyts Moss	25-7-2012
1583	Cock Howe And Beyond	25-7-2012
1631	Harrock Hill 3	25-7-2012
1528	Trunce 7 Junior	23-7-2012
1529	Trunce 7	23-7-2012
1407	Kentmere	22-7-2012
1595	Great Hucklow	22-7-2012
1408	Turnslack	21-7-2012
1499	Warton Crag	21-7-2012
1559	Ingleborough	21-7-2012
1560	Ingleborough - Under 18	21-7-2012
1561	Ingleborough - Under 10	21-7-2012
1598	Snowdon	21-7-2012
1436	Sheldon	19-7-2012
1403	Blisco Dash	18-7-2012
1404	Stiperstones	18-7-2012
1416	Bamford Carnival	18-7-2012
1395	Oldfield	15-7-2012
1412	Holme Moss	15-7-2012
1562	Fan Y Big Horseshoe	15-7-2012
1644	Raad Ny Foillan	15-7-2012
1541	Baildon Carnival	14-7-2012
1563	Pen y Fan	14-7-2012
1532	Sedbergh Sports	13-7-2012
1569	Beacon Hill	12-7-2012
1390	Stirton U08	11-7-2012
1391	Stirton U10	11-7-2012
1392	Stirton U12	11-7-2012
1393	Stirton U14	11-7-2012
1394	Stirton Seniors	11-7-2012
1456	Druid	11-7-2012
1388	Hathersage Gala	9-7-2012
1387	Morton Gala	8-7-2012
1544	Peak Forest	8-7-2012
1624	Bampton	8-7-2012
1625	Bampton - Junior	8-7-2012
1389	Arrochar Alps	7-7-2012
1467	Moel Siabod	7-7-2012
1596	Tockholes	7-7-2012
1633	Oakworth Haul	7-7-2012
1643	James Coulson Laxey Fell	7-7-2012
1658	Heptonstall Festival	7-7-2012
1414	Gibson Grind	5-7-2012
1396	Reston Scar Scamper	4-7-2012
1386	Stoodley Pike	3-7-2012
1479	20 Barriers	3-7-2012
1638	Saltwell Harriers	3-7-2012
1526	Trunce 6 Junior	2-7-2012
1527	Trunce 6	2-7-2012
1366	Hawkswick	1-7-2012
1367	Hawkswick - U18	1-7-2012
1368	Hawkswick - U16	1-7-2012
1369	Hawkswick - U14	1-7-2012
1370	Hawkswick - U12	1-7-2012
1371	Hawkswick - U10	1-7-2012
1372	Hawkswick - U08	1-7-2012
1383	Callow	1-7-2012
1472	Langdale Gala - Seniors	1-7-2012
1473	Langdale Gala - Under 9	1-7-2012
1474	Langdale Gala - Under 12	1-7-2012
1475	Langdale Gala - Under 14	1-7-2012
1512	 Great Bakewell Pudding Race - Seniors	1-7-2012
1513	Great Bakewell Pudding Race - Seniors short	1-7-2012
1515	Great Bakewell Pudding Race - Juniors	1-7-2012
1602	Skiddaw	1-7-2012
1365	Comptons Cross	30-6-2012
1457	Foel Fras	30-6-2012
1476	Eldwick Gala - Juniors	30-6-2012
1477	Eldwick Gala - Seniors	30-6-2012
1508	Whaley Waltz	30-6-2012
1593	Dollar	30-6-2012
1629	Harrock Hill 2	27-6-2012
1363	Cragg Vale	27-6-2012
1364	Riber Run	27-6-2012
1384	Pontesbury	27-6-2012
1417	Eddies Revenge	27-6-2012
1581	Carlton Midsummer Meander	27-6-2012
1691	Kirk Ireton Junior - U08	27-6-2012
1692	Kirk Ireton Junior - U10	27-6-2012
1693	Kirk Ireton Junior - U12	27-6-2012
1360	Tom Tittiman	24-6-2012
1385	Kinder Trog	24-6-2012
1359	Reservoir Bogs	23-6-2012
1375	Clougha Pike - U08	23-6-2012
1376	Clougha Pike - U10	23-6-2012
1377	Clougha Pike - U12	23-6-2012
1378	Clougha Pike - U14	23-6-2012
1379	Clougha Pike - U16	23-6-2012
1380	Clougha Pike - U18	23-6-2012
1382	Clougha Pike - Seniors	23-6-2012
1542	Bosley Fete	23-6-2012
1584	Chrome Hill	23-6-2012
1358	Wicken Hill Whizz	22-6-2012
1552	Tideswell	22-6-2012
1671	Beamsley	21-6-2012
1374	Humbleton Fell	20-6-2012
1461	Hotfoot Up Famau	20-6-2012
1491	Langstrath	20-6-2012
1551	Whorlton Run	20-6-2012
1466	Three Hills	19-6-2012
1556	St Ives Trail	19-6-2012
1614	Beacon Batch	19-6-2012
1355	Sutton Pinnacles	17-6-2012
1460	Y Berwyn	17-6-2012
1487	Edale	17-6-2012
1570	Flagstaff To Carlingford	17-6-2012
1645	Arthur Jones Bradda Fell	17-6-2012
1351	Cononley	16-6-2012
1353	Buckden Pike	16-6-2012
1354	Great Lakes Run	16-6-2012
1352	Tebay	13-6-2012
1373	Kettleshulme	13-6-2012
1490	Holcombe 2 Towers	13-6-2012
1621	 Ben Sheann	13-6-2012
1663	Latterbarrow Loop	13-6-2012
1524	Trunce 5 Junior	11-6-2012
1525	Trunce 5	11-6-2012
1348	Weets	9-6-2012
1589	Traprain Law	9-6-2012
1590	Welsh 1000m Peaks	9-6-2012
1338	Barley Classic	8-6-2012
1317	Abbey Anniversary	7-6-2012
1318	Hendersons End - Senior	7-6-2012
1319	Hendersons End - Junior	7-6-2012
1599	Hebden Bridge	7-6-2012
1309	Otley Chevin	6-6-2012
1310	Boars Head	6-6-2012
1343	Calver Peak	6-6-2012
1546	Broughton Wood Wobble	6-6-2012
1565	Blencathra	6-6-2012
1650	Lantern Pike Dash	5-6-2012
1651	Thorpe Pastures Queens Jubilee under 12	5-6-2012
1652	Thorpe Pastures Queens Jubilee under 10	5-6-2012
1653	Thorpe Pastures Queens Jubilee under 08	5-6-2012
1312	Mynydd Myfyr	4-6-2012
1313	Austwick Amble	4-6-2012
1314	Austwick Amble - under 12	4-6-2012
1315	Austwick Amble - under 16	4-6-2012
1337	Bamford Sheepdog Trials	4-6-2012
1316	Edenfield	3-6-2012
1494	Yetholm	3-6-2012
1601	Helvellyn And The Dodds	3-6-2012
1654	Wormstones	3-6-2012
1604	Pen Y Ghent	2-6-2012
1331	Kelbrook	2-6-2012
1538	Wharfedale Off Road 1/2	2-6-2012
1539	Wharfedale Off Road Marathon	2-6-2012
1622	Glas Tulaichean Uphill	2-6-2012
1304	Batch Bash	30-5-2012
1548	Ossey Oiks	30-5-2012
1320	Saddleworth	27-5-2012
1327	Peat Pits Wood	27-5-2012
1302	Hutton Roof Crags	26-5-2012
1303	Jura	26-5-2012
1341	Ras y Gader	26-5-2012
1321	Wingerworth Wobble	26-5-2012
1483	Little Long Run	26-5-2012
1555	Shutlingsloe	26-5-2012
1306	Denis Stitt	24-5-2012
1307	Caw	23-5-2012
1504	Vanessa Chappell	23-5-2012
1628	Harrock Hill 1	23-5-2012
1290	Totley Moor	22-5-2012
1522	Trunce 4 Junior	21-5-2012
1523	Trunce 4	21-5-2012
1295	New Dungeon Ghyll	19-5-2012
1568	Shining Tor Intercounties Race	19-5-2012
1605	Durris Mast	17-5-2012
1606	Durris Mast - junior	17-5-2012
1276	Kildwick - seniors	16-5-2012
1277	Kildwick - under 14	16-5-2012
1278	Kildwick - under 12	16-5-2012
1279	Kildwick - under 10	16-5-2012
1280	Kildwick - under 08	16-5-2012
1291	Blackstone Edge	16-5-2012
1488	Latrigg	16-5-2012
1646	Carraghan Fell	15-5-2012
1594	Mount Famine	14-5-2012
1292	Slieve Bearnagh - Men	12-5-2012
1293	Slieve Bearnagh - Ladies	12-5-2012
1294	Bollington Festival 3 Peaks	12-5-2012
1296	Fairfield Horseshoe	12-5-2012
1505	Belmont Winter Hill	12-5-2012
1289	Caradoc Classic	9-5-2012
1500	Rainow 5	9-5-2012
1592	Lords Seat	9-5-2012
1268	Jack Bloor - seniors	8-5-2012
1269	Jack Bloor - under 08	8-5-2012
1270	Jack Bloor - under 10	8-5-2012
1271	Jack Bloor - under 12	8-5-2012
1272	Jack Bloor - under 14	8-5-2012
1273	Jack Bloor - under 16	8-5-2012
1498	Burbage Skyline	8-5-2012
1288	Coiners	7-5-2012
1330	James Thorn	7-5-2012
1283	Great Hameldon - seniors	6-5-2012
1284	Great Hameldon - U08	6-5-2012
1285	Great Hameldon - U10	6-5-2012
1286	Great Hameldon - U12 to U16	6-5-2012
1329	Moorfield 5k	6-5-2012
1281	Pendle Cloughs	5-5-2012
1282	The Cake Race	5-5-2012
1328	Chunal	5-5-2012
1462	Llangynhafal Loop	5-5-2012
1463	Red Kite	5-5-2012
1588	Coniston	5-5-2012
1618	Stuc A Chroin 5000	5-5-2012
1260	Dockray - Hartside	2-5-2012
1262	Lothersdale	2-5-2012
1263	Lothersdale - under 8	2-5-2012
1264	Lothersdale - under 10	2-5-2012
1265	Lothersdale - under 12	2-5-2012
1267	Flower Scar	2-5-2012
1287	Tigers Todger	2-5-2012
1520	Trunce 3 Junior	30-4-2012
1521	Trunce 3	30-4-2012
1258	Cheviot Summit	29-4-2012
1259	Annalong Horseshoe	28-4-2012
1647	Snaefell	28-4-2012
1485	Pentyrch	25-4-2012
1534	Wrekin Streak	25-4-2012
1677	Masson Hill	24-4-2012
1254	Cribyn	21-4-2012
1246	Hartcliff Hill	19-4-2012
1591	Grisedale Grind	18-4-2012
1612	Joe Barber Herod Farm	18-4-2012
